Award ID,TenderKey,Tender Ref No,Tender Title,Issuing Authority,Technology,Tender Capacity MW,State,Winning Bidder,Winner SPV,Awarded Capacity MW,Tariff,Tariff Unit,Award Date,Expected COD,Confidence,Award Source,Award URL,Tender Source URL
T-f2ff6c795ea5-01,T-f2ff6c795ea5,SECI/C&P/IPP/11/0008/25-26,RfS for Setting up of 1000 kW Grid-Connected RTSPV project on buildings of Rashtrapati Bhavan (RTSPV-Tranche-III),SECI,Rooftop Solar,1.0,,Renew,,1.0,,,2025-12-23,2027-12-23,Press report - verify,news (unverified),https://news.google.com/rss/articles/CBMihwFBVV95cUxNeWlaMFc5WW1QZWdfeDJaejdFQ2pJeWxvM1FvVllKZ3poRWNBV0FEekRsS0lmcmFUV2dIOVNfMUZhdW1FMVN0TElaenhua2VWRmVBdmlKbXNMby1Vc0kyb0g2RWNjdE9WMzlIRFZPR2syanJHczRhS1pGRHF4NE42UGR3R0VEQms?oc=5,https://www.seci.co.in/tender-details/YmNx
f2ff6c795ea5-01,f2ff6c795ea5,SECI/C&P/IPP/11/0008/25-26,RfS for Setting up of 1000 kW Grid-Connected RTSPV project on buildings of Rashtrapati Bhavan (RTSPV-Tranche-III),SECI,Rooftop Solar,1.0,,Renew,,1.0,,,2025-12-23,2027-12-23,Press report - verify,news (unverified),https://news.google.com/rss/articles/CBMihwFBVV95cUxNeWlaMFc5WW1QZWdfeDJaejdFQ2pJeWxvM1FvVllKZ3poRWNBV0FEekRsS0lmcmFUV2dIOVNfMUZhdW1FMVN0TElaenhua2VWRmVBdmlKbXNMby1Vc0kyb0g2RWNjdE9WMzlIRFZPR2syanJHczRhS1pGRHF4NE42UGR3R0VEQms?oc=5,https://www.seci.co.in/tender-details/YmNx
T-c99bd23af287-01,T-c99bd23af287,SECI/C&P/IPP/11/0006/25-26,RfS for Setting up of 1200 MW ISTS-connected Solar PV Power Projects with 600 MW/3600 MWh ESS in India (SECI-ISTS-XXI),SECI,Solar,1200.0,,ENGIE,,,,,2026-01-09,2028-01-09,Press report - verify,news (unverified),https://news.google.com/rss/articles/CBMi5wFBVV95cUxPMXVXMk1IRE5iUURFdE9WT05vSTJ6cXluRm5nN2l6N1pZSm5Wbjg3S08wdDFGRm4zTmZYemQyQW05VWhjS2k1SjFZOUZoazlYQkZOU3dqUFA4QXB0WWNEYXAzQmRmX0FObkJaWW9Zb0hnYVI5cUZiXzM1Z0YwZHhKRmJ4SFNTd015c0F3TGs4MlpGX3ZzdDJhTXZtOEdsVWJkN19fVWRxS0U5UlF1TENqb0tmQ0FzWVVUa2EzUUlRY1luZTN6UlYtT0xtSXZZelJsTTNiNVE3bXlsWXJSRXZqVm9qSWdVYkU?oc=5,https://www.seci.co.in/tender-details/YmJz
T-c99bd23af287-02,T-c99bd23af287,SECI/C&P/IPP/11/0006/25-26,RfS for Setting up of 1200 MW ISTS-connected Solar PV Power Projects with 600 MW/3600 MWh ESS in India (SECI-ISTS-XXI),SECI,Solar,1200.0,,NLC India,,,,,2026-01-09,2028-01-09,Press report - verify,news (unverified),https://news.google.com/rss/articles/CBMi5wFBVV95cUxPMXVXMk1IRE5iUURFdE9WT05vSTJ6cXluRm5nN2l6N1pZSm5Wbjg3S08wdDFGRm4zTmZYemQyQW05VWhjS2k1SjFZOUZoazlYQkZOU3dqUFA4QXB0WWNEYXAzQmRmX0FObkJaWW9Zb0hnYVI5cUZiXzM1Z0YwZHhKRmJ4SFNTd015c0F3TGs4MlpGX3ZzdDJhTXZtOEdsVWJkN19fVWRxS0U5UlF1TENqb0tmQ0FzWVVUa2EzUUlRY1luZTN6UlYtT0xtSXZZelJsTTNiNVE3bXlsWXJSRXZqVm9qSWdVYkU?oc=5,https://www.seci.co.in/tender-details/YmJz
T-c99bd23af287-03,T-c99bd23af287,SECI/C&P/IPP/11/0006/25-26,RfS for Setting up of 1200 MW ISTS-connected Solar PV Power Projects with 600 MW/3600 MWh ESS in India (SECI-ISTS-XXI),SECI,Solar,1200.0,,Rays Power,,,,,2026-01-09,2028-01-09,Press report - verify,news (unverified),https://news.google.com/rss/articles/CBMi5wFBVV95cUxPMXVXMk1IRE5iUURFdE9WT05vSTJ6cXluRm5nN2l6N1pZSm5Wbjg3S08wdDFGRm4zTmZYemQyQW05VWhjS2k1SjFZOUZoazlYQkZOU3dqUFA4QXB0WWNEYXAzQmRmX0FObkJaWW9Zb0hnYVI5cUZiXzM1Z0YwZHhKRmJ4SFNTd015c0F3TGs4MlpGX3ZzdDJhTXZtOEdsVWJkN19fVWRxS0U5UlF1TENqb0tmQ0FzWVVUa2EzUUlRY1luZTN6UlYtT0xtSXZZelJsTTNiNVE3bXlsWXJSRXZqVm9qSWdVYkU?oc=5,https://www.seci.co.in/tender-details/YmJz
c99bd23af287-01,c99bd23af287,SECI/C&P/IPP/11/0006/25-26,RfS for Setting up of 1200 MW ISTS-connected Solar PV Power Projects with 600 MW/3600 MWh ESS in India (SECI-ISTS-XXI),SECI,Solar,1200.0,,ENGIE,,,,,2026-01-09,2028-01-09,Press report - verify,news (unverified),https://news.google.com/rss/articles/CBMi5wFBVV95cUxPMXVXMk1IRE5iUURFdE9WT05vSTJ6cXluRm5nN2l6N1pZSm5Wbjg3S08wdDFGRm4zTmZYemQyQW05VWhjS2k1SjFZOUZoazlYQkZOU3dqUFA4QXB0WWNEYXAzQmRmX0FObkJaWW9Zb0hnYVI5cUZiXzM1Z0YwZHhKRmJ4SFNTd015c0F3TGs4MlpGX3ZzdDJhTXZtOEdsVWJkN19fVWRxS0U5UlF1TENqb0tmQ0FzWVVUa2EzUUlRY1luZTN6UlYtT0xtSXZZelJsTTNiNVE3bXlsWXJSRXZqVm9qSWdVYkU?oc=5,https://www.seci.co.in/tender-details/YmJz
c99bd23af287-02,c99bd23af287,SECI/C&P/IPP/11/0006/25-26,RfS for Setting up of 1200 MW ISTS-connected Solar PV Power Projects with 600 MW/3600 MWh ESS in India (SECI-ISTS-XXI),SECI,Solar,1200.0,,NLC India,,,,,2026-01-09,2028-01-09,Press report - verify,news (unverified),https://news.google.com/rss/articles/CBMi5wFBVV95cUxPMXVXMk1IRE5iUURFdE9WT05vSTJ6cXluRm5nN2l6N1pZSm5Wbjg3S08wdDFGRm4zTmZYemQyQW05VWhjS2k1SjFZOUZoazlYQkZOU3dqUFA4QXB0WWNEYXAzQmRmX0FObkJaWW9Zb0hnYVI5cUZiXzM1Z0YwZHhKRmJ4SFNTd015c0F3TGs4MlpGX3ZzdDJhTXZtOEdsVWJkN19fVWRxS0U5UlF1TENqb0tmQ0FzWVVUa2EzUUlRY1luZTN6UlYtT0xtSXZZelJsTTNiNVE3bXlsWXJSRXZqVm9qSWdVYkU?oc=5,https://www.seci.co.in/tender-details/YmJz
c99bd23af287-03,c99bd23af287,SECI/C&P/IPP/11/0006/25-26,RfS for Setting up of 1200 MW ISTS-connected Solar PV Power Projects with 600 MW/3600 MWh ESS in India (SECI-ISTS-XXI),SECI,Solar,1200.0,,Rays Power,,,,,2026-01-09,2028-01-09,Press report - verify,news (unverified),https://news.google.com/rss/articles/CBMi5wFBVV95cUxPMXVXMk1IRE5iUURFdE9WT05vSTJ6cXluRm5nN2l6N1pZSm5Wbjg3S08wdDFGRm4zTmZYemQyQW05VWhjS2k1SjFZOUZoazlYQkZOU3dqUFA4QXB0WWNEYXAzQmRmX0FObkJaWW9Zb0hnYVI5cUZiXzM1Z0YwZHhKRmJ4SFNTd015c0F3TGs4MlpGX3ZzdDJhTXZtOEdsVWJkN19fVWRxS0U5UlF1TENqb0tmQ0FzWVVUa2EzUUlRY1luZTN6UlYtT0xtSXZZelJsTTNiNVE3bXlsWXJSRXZqVm9qSWdVYkU?oc=5,https://www.seci.co.in/tender-details/YmJz
T-519bbe8b1f67-01,T-519bbe8b1f67,SECI/C&P/IPP/12/0013/25-26,RfS for Setting up of 1200 MW ISTS-Connected Wind Power Projects in India (SECI-Tranche-XIX),SECI,Wind,1200.0,,Waaree,,,,,2026-02-05,2028-02-05,Press report - verify,news (unverified),https://news.google.com/rss/articles/CBMiywFBVV95cUxPRUh3ejNCaUhzWHQ0Wk8wSTFIb2pZTmRrd3FhYk5rNGRfcG5fTVYwbHNOd2lKelpQVUREMXFXaVhhYVRSNExVc2JTMDlHRXdWQUdMTUZabDRkaGdSc1FidF9iNVdxMHF0U1U2NTQ5Mlg1UEp2QUZEZ2lWWHZ2c216MTI3anU3eDRMcENUV2ZqdkszV1RDS2Y3aTA1WGF4UEhrX0Z6MkhldUVHaUFneHpYOEQ4OF9URk1PUHVRT0l2NnFjNXFjVmtHdWZvMNIB0AFBVV95cUxNS2ZmakVoY1dXMjdfY21KMHFiN2ZrOHRsQVBoWVZhUGQtWGJORWFrMk5QcWJyenJlVG84Rl83OTkxTmNPZUNKdXd0TG9vN29tVGZ5YmFZbUNGYUJ0elhwRlJKSVNyVXFtbllULVRYWVp4Wm10M1hERWFGWXNIQy1FYW12WHFFcjZzTUJZay1Zd21ReDhSaldQRnZWZlBRT0E1YzJpdll1ME82N3hsLWI5SjhlT3RlNnd0TVp6VTJnTnFmSUFZb3JBNnpyNm1qTjlm?oc=5,https://www.seci.co.in/tender-details/YmB1
T-519bbe8b1f67-02,T-519bbe8b1f67,SECI/C&P/IPP/12/0013/25-26,RfS for Setting up of 1200 MW ISTS-Connected Wind Power Projects in India (SECI-Tranche-XIX),SECI,Wind,1200.0,,KP Energy,,,,,2026-02-05,2028-02-05,Press report - verify,news (unverified),https://news.google.com/rss/articles/CBMiywFBVV95cUxPRUh3ejNCaUhzWHQ0Wk8wSTFIb2pZTmRrd3FhYk5rNGRfcG5fTVYwbHNOd2lKelpQVUREMXFXaVhhYVRSNExVc2JTMDlHRXdWQUdMTUZabDRkaGdSc1FidF9iNVdxMHF0U1U2NTQ5Mlg1UEp2QUZEZ2lWWHZ2c216MTI3anU3eDRMcENUV2ZqdkszV1RDS2Y3aTA1WGF4UEhrX0Z6MkhldUVHaUFneHpYOEQ4OF9URk1PUHVRT0l2NnFjNXFjVmtHdWZvMNIB0AFBVV95cUxNS2ZmakVoY1dXMjdfY21KMHFiN2ZrOHRsQVBoWVZhUGQtWGJORWFrMk5QcWJyenJlVG84Rl83OTkxTmNPZUNKdXd0TG9vN29tVGZ5YmFZbUNGYUJ0elhwRlJKSVNyVXFtbllULVRYWVp4Wm10M1hERWFGWXNIQy1FYW12WHFFcjZzTUJZay1Zd21ReDhSaldQRnZWZlBRT0E1YzJpdll1ME82N3hsLWI5SjhlT3RlNnd0TVp6VTJnTnFmSUFZb3JBNnpyNm1qTjlm?oc=5,https://www.seci.co.in/tender-details/YmB1
