Reason,Severity,TenderKey,Authority,Tender Title,Technology,Capacity MW,What to do,Source URL,Award URL
WINNER_UNKNOWN,HIGH,T-c88a6712deb0,SECI,"Tender for the Selection of Agency to carry out Soil Investigation at proposed 13 GW RE Project Sites in Leh, UT of Lada",Unclassified,13000.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/aWo,
WINNER_UNKNOWN,HIGH,c88a6712deb0,SECI,"Tender for the Selection of Agency to carry out Soil Investigation at proposed 13 GW RE Project Sites in Leh, UT of Lada",Unclassified,13000.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/aWo,
WINNER_UNVERIFIED,HIGH,T-f1715ae5dae5,SECI,"SECI Awards 8.6 GW of ISTS Renewable Energy Projects Across Solar, Hybrid And Storage Tenders - SolarQuarter",Solar + Storage,8600.0,"open the Award URL, confirm the winner, then record it in manual_awards.csv",https://news.google.com/rss/articles/CBMiyAFBVV95cUxNVHlsTTB4RHBoOGtOal9nU001Q3FGUXNLVXFmdWdFeWNoZnRnNExuUHBtMnJCcUJaM0c2MGtZZE44dnRNbXBpOC0xOWliZ1NoUHY5YUpGT2ROUVhXc19URmdEeURPNFB6WjZpRmN2cTk5ZFd3dnJiQ2p1bTFsUl9BQ1J1VXdJbVFEMlVtMGxuVVU0Z1c1LUZEUndfSGlOemVkMFlXQ19rU2pPUk8xN09lZkxLUFlGSWh4d01RX1lwUWlNaDgtMUZjcw?oc=5,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNVHlsTTB4RHBoOGtOal9nU001Q3FGUXNLVXFmdWdFeWNoZnRnNExuUHBtMnJCcUJaM0c2MGtZZE44dnRNbXBpOC0xOWliZ1NoUHY5YUpGT2ROUVhXc19URmdEeURPNFB6WjZpRmN2cTk5ZFd3dnJiQ2p1bTFsUl9BQ1J1VXdJbVFEMlVtMGxuVVU0Z1c1LUZEUndfSGlOemVkMFlXQ19rU2pPUk8xN09lZkxLUFlGSWh4d01RX1lwUWlNaDgtMUZjcw?oc=5
WINNER_UNKNOWN,HIGH,T-069167338a56,SECI,"RfS for 7500 MW Solar Power Projects in Leh and Kargil, Jammu and Kashmir",Solar,7500.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/aQ,
WINNER_UNKNOWN,HIGH,069167338a56,SECI,"RfS for 7500 MW Solar Power Projects in Leh and Kargil, Jammu and Kashmir",Solar,7500.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/aQ,
WINNER_UNKNOWN,HIGH,T-5a5e72e722e6,SECI,"RfS for Supply of 5000 MW RTC Power from ISTS-connected RE Power Projects, complemented with Coal based Thermal Power in",Round-the-Clock / CfD / Trading,5000.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/Zw,
WINNER_UNKNOWN,HIGH,5a5e72e722e6,SECI,"RfS for Supply of 5000 MW RTC Power from ISTS-connected RE Power Projects, complemented with Coal based Thermal Power in",Round-the-Clock / CfD / Trading,5000.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/Zw,
WINNER_UNKNOWN,HIGH,T-018adabb0d45,NTPC,"POWER TRANSFORMER SUPPLY PACKAGE-I (NORTH BLOCK) UNDER DEVELOPMENT OF 4750MW SOLAR PARK AT KHAVDA, GUJARAT",Solar,4750.0,material tender closed with no winner found; search the agency site,https://ntpctender.ntpc.co.in/NITDetails/NITs/24436,
WINNER_UNKNOWN,HIGH,T-a9ca3ef0c16a,NTPC,POWER EVACUATION INFRASTRUCTURE PACKAGE-1(NORTH BLOCK) UNDER DEVELOPMENT OF 4750MW KHAVDA SOLAR PARK.,Transmission / Evacuation,4750.0,material tender closed with no winner found; search the agency site,https://ntpctender.ntpc.co.in/NITDetails/NITs/24542,
WINNER_UNKNOWN,HIGH,T-cc0184fe8f88,NTPC,"POWER TRANSFORMER SUPPLY PACKAGE-II (SOUTH BLOCK) UNDER DEVELOPMENT OF 4750 MW SOLAR PARK AT KHAVDA, GUJARAT.",Solar,4750.0,material tender closed with no winner found; search the agency site,https://ntpctender.ntpc.co.in/NITDetails/NITs/25168,
WINNER_UNKNOWN,HIGH,T-eb0e4ec9fe44,NTPC,"POWER EVACUATION INFRASTRUCTURE PACKAGE UNDER DEVELOPMENT OF 4750MW SOLAR PARK AT KHAVDA, GUJARAT",Transmission / Evacuation,4750.0,material tender closed with no winner found; search the agency site,https://ntpctender.ntpc.co.in/NITDetails/NITs/25452,
WINNER_UNKNOWN,HIGH,T-e3f1b46e9f78,SECI,RfS for Allocation of Sea-bed Lease Rights for 4000 MW Offshore Wind Power Projects,Wind,4000.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/YWB1,
WINNER_UNKNOWN,HIGH,e3f1b46e9f78,SECI,RfS for Allocation of Sea-bed Lease Rights for 4000 MW Offshore Wind Power Projects,Wind,4000.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/YWB1,
WINNER_UNKNOWN,HIGH,T-f33857bd548a,NTPC,SELECTION OF RE POWER GENERATORS FOR SUPPLY OF 3000 MW FIRM AND DISPATCHABLE POWER FROM ISTS-CONNECTED RENEWABLE ENERGY ,Round-the-Clock / CfD / Trading,3000.0,material tender closed with no winner found; search the agency site,https://ntpctender.ntpc.co.in/NITDetails/NITs/26306,
WINNER_UNKNOWN,HIGH,T-e5c0035292e8,SECI,"RfS for 2500 MW ISTS-connected Solar PV Power Projects at UMREPP, Koppal District, Karnataka (ISTS-X)",Solar,2500.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/YWI,
WINNER_UNKNOWN,HIGH,e5c0035292e8,SECI,"RfS for 2500 MW ISTS-connected Solar PV Power Projects at UMREPP, Koppal District, Karnataka (ISTS-X)",Solar,2500.0,material tender closed with no winner found; search the agency site,https://www.seci.co.in/tender-details/YWI,
WINNER_UNKNOWN,HIGH,T-be78bfb74fa7,NTPC,BESS PACKAGE FOR DEVELOPMENT OF 2500 MW/10000 MWH BESS AT NTPC THERMAL STATIONS,Energy Storage (BESS),2500.0,material tender closed with no winner found; search the agency site,https://ntpctender.ntpc.co.in/NITDetails/NITs/28170,
