Winning Bidder,Award Status,Issuing Authority,Tender / RfS Number,Tender Title,Technology,Awarded Capacity MW,Capacity MW,Storage MW,Storage MWh,Tariff,Tariff Unit,Tariff Type,Tariff Status,Award Date,LOA Date,PPA Date,PPA Tenure,Expected COD,Actual COD,COD Basis,COD Source,State,Procurer / Offtaker,Project / SPV,Consortium,Lead Member,Winner Count,Project Status,Tender Details,Business Eligibility,Date Basis,Source URL,Award URL,Source Type,Evidence,Confidence,Quality Grade,Freshness,First Seen,Last Checked,Last Verified,Tender Date,Tender Deadline,TenderKey,AwardID
SECI,Awarded,NTPC,,NTPC REL Wins 500 MW SECI Renewable Contract At Rs 6 per kWh - Construction World,Unclassified,,500.0,,,,,,,2026-09-03,,,,2028-09-03,Unknown,Derived: 24 months from award (default),Derived from award date,,NTPC,,SECI; Renew,,2,Pre-COD,Tender · news-derived record,FY26+,Award date,https://news.google.com/rss/articles/CBMi4gFBVV95cUxPd296c2F1UU96M25sUV9GSmRDLVFEZndIcU9XWXFMTUFtRTJoZGgwOU9VUzR0X2d5WUl1UzFwRzZwLVhVd21lcXRRVHcybUVrT1dMSTR3dmtzVVhCTUlHVnNORlV2OWlvMThlamI3UFdFaVZyM2tQYnVza0l2WVRuS2xIcHlfa0RIenZJdDBSQmhQNndyV0JRX1Y5UGhMSUlxMVk0aFluamZHeFQtZU85WlhmNkpaVFUwODVUb3h4azhRMUo1czlWaFFES3ZONUtuZGI2Y0N4NVo4ZEVTZG5QSW93?oc=5,https://news.google.com/rss/articles/CBMi4gFBVV95cUxPd296c2F1UU96M25sUV9GSmRDLVFEZndIcU9XWXFMTUFtRTJoZGgwOU9VUzR0X2d5WUl1UzFwRzZwLVhVd21lcXRRVHcybUVrT1dMSTR3dmtzVVhCTUlHVnNORlV2OWlvMThlamI3UFdFaVZyM2tQYnVza0l2WVRuS2xIcHlfa0RIenZJdDBSQmhQNndyV0JRX1Y5UGhMSUlxMVk0aFluamZHeFQtZU85WlhmNkpaVFUwODVUb3h4azhRMUo1czlWaFFES3ZONUtuZGI2Y0N4NVo4ZEVTZG5QSW93?oc=5,Industry publication,NTPC REL Wins 500 MW SECI Renewable Contract At Rs 6 per kWh - Construction World,Press report - verify,D,Fresh,,2026-09-12,,,,T-d9717b535ee9,T-d9717b535ee9-01
Renew,Awarded,NTPC,,NTPC REL Wins 500 MW SECI Renewable Contract At Rs 6 per kWh - Construction World,Unclassified,,500.0,,,,,,,2026-09-03,,,,2028-09-03,Unknown,Derived: 24 months from award (default),Derived from award date,,NTPC,,SECI; Renew,,2,Pre-COD,Tender · news-derived record,FY26+,Award date,https://news.google.com/rss/articles/CBMi4gFBVV95cUxPd296c2F1UU96M25sUV9GSmRDLVFEZndIcU9XWXFMTUFtRTJoZGgwOU9VUzR0X2d5WUl1UzFwRzZwLVhVd21lcXRRVHcybUVrT1dMSTR3dmtzVVhCTUlHVnNORlV2OWlvMThlamI3UFdFaVZyM2tQYnVza0l2WVRuS2xIcHlfa0RIenZJdDBSQmhQNndyV0JRX1Y5UGhMSUlxMVk0aFluamZHeFQtZU85WlhmNkpaVFUwODVUb3h4azhRMUo1czlWaFFES3ZONUtuZGI2Y0N4NVo4ZEVTZG5QSW93?oc=5,https://news.google.com/rss/articles/CBMi4gFBVV95cUxPd296c2F1UU96M25sUV9GSmRDLVFEZndIcU9XWXFMTUFtRTJoZGgwOU9VUzR0X2d5WUl1UzFwRzZwLVhVd21lcXRRVHcybUVrT1dMSTR3dmtzVVhCTUlHVnNORlV2OWlvMThlamI3UFdFaVZyM2tQYnVza0l2WVRuS2xIcHlfa0RIenZJdDBSQmhQNndyV0JRX1Y5UGhMSUlxMVk0aFluamZHeFQtZU85WlhmNkpaVFUwODVUb3h4azhRMUo1czlWaFFES3ZONUtuZGI2Y0N4NVo4ZEVTZG5QSW93?oc=5,Industry publication,NTPC REL Wins 500 MW SECI Renewable Contract At Rs 6 per kWh - Construction World,Press report - verify,D,Fresh,,2026-09-12,,,,T-d9717b535ee9,T-d9717b535ee9-02
Renew,Awarded,SECI,,NTPC REL Wins 500 MW Renewable Energy Contract In SECI Auction At INR 6/kWh - SolarQuarter,Unclassified,500.0,500.0,,,,,,,2026-08-31,,,,2028-08-28,Unknown,Derived: 24 months from award (default),Derived from award date,,SECI,,,,1,Pre-COD,Tender · news-derived record,FY26+,Award date,https://news.google.com/rss/articles/CBMisgFBVV95cUxPektoWl94Wk1jVGhWVF92aGo4Y1lGWDlWdE1zdGY0OElMVUZUaHpOREtzb29hNlFKS25sSW41OVMyNEJtR0dPNGRqQUhaaTNZYUhhUUdYUkpybVh2TjR5TzYyUmMyZW0xWktBeGRVdlZVQ2RMdFljV2VNYW9aOW5sMXF2Yjg5VjkyQlRvbFBycVZBY0dhZmpseF9FLWxkRi04cXJWSnFudjE1ZjQ0X21QS1p3?oc=5,https://news.google.com/rss/articles/CBMisgFBVV95cUxPektoWl94Wk1jVGhWVF92aGo4Y1lGWDlWdE1zdGY0OElMVUZUaHpOREtzb29hNlFKS25sSW41OVMyNEJtR0dPNGRqQUhaaTNZYUhhUUdYUkpybVh2TjR5TzYyUmMyZW0xWktBeGRVdlZVQ2RMdFljV2VNYW9aOW5sMXF2Yjg5VjkyQlRvbFBycVZBY0dhZmpseF9FLWxkRi04cXJWSnFudjE1ZjQ0X21QS1p3?oc=5,Industry publication,NTPC REL Wins 500 MW Renewable Energy Contract In SECI Auction At INR 6/kWh - SolarQuarter,Press report - verify,D,Fresh,,2026-09-12,,,,T-4f40b69fee32,T-4f40b69fee32-01
ACME Solar,Awarded,SECI,,ACME Solar Wins 300 MW SECI Peak Power Tender at ₹6/kWh - mvapulse.com,Solar,300.0,300.0,,,,,,,2026-08-25,,,,2028-08-25,Unknown,Derived: 24 months from award (Solar),Derived from award date,,SECI,,,,1,Pre-COD,Tender · news-derived record,FY26+,Award date,https://news.google.com/rss/articles/CBMikwFBVV95cUxNaVRZZFRBSmhQVndNZjJUc0lwcFNwMTdwWmJRYzRsWTdsbkRDZmxFNUFPQk5PMzRzZU9KckZHRHVKalpiWnZkcUJfQk1udjhtNXVjN3BDa0c4UXhnbEpWVENtb2xSR0JuWDNYRE9Kc3hjdW5VYzN0MkhQdUQxMTBmU2NzVzE0YVdnRUNhZ0kwMktOOWc?oc=5,https://news.google.com/rss/articles/CBMikwFBVV95cUxNaVRZZFRBSmhQVndNZjJUc0lwcFNwMTdwWmJRYzRsWTdsbkRDZmxFNUFPQk5PMzRzZU9KckZHRHVKalpiWnZkcUJfQk1udjhtNXVjN3BDa0c4UXhnbEpWVENtb2xSR0JuWDNYRE9Kc3hjdW5VYzN0MkhQdUQxMTBmU2NzVzE0YVdnRUNhZ0kwMktOOWc?oc=5,Industry publication,ACME Solar Wins 300 MW SECI Peak Power Tender at ₹6/kWh - mvapulse.com,Press report - verify,D,Fresh,,2026-09-12,,,,T-adfb030af9f6,T-adfb030af9f6-01
Waaree,Awarded,SECI,,"Waaree Energies, NTPC REL And ACME Solar Win SECI’s 1500 MW/6000 MWh FDRE-lX Tender At ₹5.99–₹6/kWh - SolarQuarter",Solar,,1500.0,1500.0,6000.0,,,,,2026-08-24,,,,2028-08-24,Unknown,Derived: 24 months from award (Solar),Derived from award date,,SECI,,Waaree; ACME Solar,,2,Pre-COD,Tender · news-derived record,FY26+,Award date,https://news.google.com/rss/articles/CBMi5AFBVV95cUxNb0lMaXVWbUdTTzFWa3k3YnlWMGI3eG1UeWQzRGRvVExkODc4NjB3Z2VTN2J6d2RsNHNmSmtiN2wtQ1pvWERIX1RMSzBaZi1Ua21RZEtfakZFcHVsWUUtN2hrVGtrRk9iVG03bGV2bG85S1BLX295YVIybU5LWXB6Z29DS2d0UHpyeFp4clNfYjVUVTdmekE5dHZJRnpsMmJ6RVBLMmhJU2E0X2k4bXpDZkpoZG9sd2N1T2dlSnREel9hTVhhSE9iOHhQbjRqTnlSWnl5dGJBaGpDNkNpSXdNR3dQLU4?oc=5,https://news.google.com/rss/articles/CBMi5AFBVV95cUxNb0lMaXVWbUdTTzFWa3k3YnlWMGI3eG1UeWQzRGRvVExkODc4NjB3Z2VTN2J6d2RsNHNmSmtiN2wtQ1pvWERIX1RMSzBaZi1Ua21RZEtfakZFcHVsWUUtN2hrVGtrRk9iVG03bGV2bG85S1BLX295YVIybU5LWXB6Z29DS2d0UHpyeFp4clNfYjVUVTdmekE5dHZJRnpsMmJ6RVBLMmhJU2E0X2k4bXpDZkpoZG9sd2N1T2dlSnREel9hTVhhSE9iOHhQbjRqTnlSWnl5dGJBaGpDNkNpSXdNR3dQLU4?oc=5,Industry publication,"Waaree Energies, NTPC REL And ACME Solar Win SECI’s 1500 MW/6000 MWh FDRE-lX Tender At ₹5.99–₹6/kWh - SolarQuarter",Press report - verify,D,Fresh,2026-09-09,2026-09-12,,,,T-035d38538db6,T-035d38538db6-01
ACME Solar,Awarded,SECI,,"Waaree Energies, NTPC REL And ACME Solar Win SECI’s 1500 MW/6000 MWh FDRE-lX Tender At ₹5.99–₹6/kWh - SolarQuarter",Solar,,1500.0,1500.0,6000.0,,,,,2026-08-24,,,,2028-08-24,Unknown,Derived: 24 months from award (Solar),Derived from award date,,SECI,,Waaree; ACME Solar,,2,Pre-COD,Tender · news-derived record,FY26+,Award date,https://news.google.com/rss/articles/CBMi5AFBVV95cUxNb0lMaXVWbUdTTzFWa3k3YnlWMGI3eG1UeWQzRGRvVExkODc4NjB3Z2VTN2J6d2RsNHNmSmtiN2wtQ1pvWERIX1RMSzBaZi1Ua21RZEtfakZFcHVsWUUtN2hrVGtrRk9iVG03bGV2bG85S1BLX295YVIybU5LWXB6Z29DS2d0UHpyeFp4clNfYjVUVTdmekE5dHZJRnpsMmJ6RVBLMmhJU2E0X2k4bXpDZkpoZG9sd2N1T2dlSnREel9hTVhhSE9iOHhQbjRqTnlSWnl5dGJBaGpDNkNpSXdNR3dQLU4?oc=5,https://news.google.com/rss/articles/CBMi5AFBVV95cUxNb0lMaXVWbUdTTzFWa3k3YnlWMGI3eG1UeWQzRGRvVExkODc4NjB3Z2VTN2J6d2RsNHNmSmtiN2wtQ1pvWERIX1RMSzBaZi1Ua21RZEtfakZFcHVsWUUtN2hrVGtrRk9iVG03bGV2bG85S1BLX295YVIybU5LWXB6Z29DS2d0UHpyeFp4clNfYjVUVTdmekE5dHZJRnpsMmJ6RVBLMmhJU2E0X2k4bXpDZkpoZG9sd2N1T2dlSnREel9hTVhhSE9iOHhQbjRqTnlSWnl5dGJBaGpDNkNpSXdNR3dQLU4?oc=5,Industry publication,"Waaree Energies, NTPC REL And ACME Solar Win SECI’s 1500 MW/6000 MWh FDRE-lX Tender At ₹5.99–₹6/kWh - SolarQuarter",Press report - verify,D,Fresh,2026-09-09,2026-09-12,,,,T-035d38538db6,T-035d38538db6-02
NTPC Green,Awarded,SECI,,NTPC Green Energy Arm Wins 500 MW SECI Peak Power Tender - Equitypandit,Unclassified,500.0,500.0,,,,,,,2026-08-24,,,,2028-08-24,Unknown,Derived: 24 months from award (default),Derived from award date,,SECI,,,,1,Pre-COD,Tender · news-derived record,FY26+,Award date,https://news.google.com/rss/articles/CBMijwFBVV95cUxOcnlyaUtXamtSbmN6cmhSUjRaVXVfYjBtLTV1dGFRR1FvNkZUSzBKbGYwZEY5QkItbHFKVVA4WWY2bTZxeGhieV9HdEh2emRpVEV2b014X3ZyS2JKZzNIcjlha0loaThVN1ZyOGdPQTN0WFAxVXhHMjRPNE1NUFZzMEw0Ul8xV1hvOERaZW1NZw?oc=5,https://news.google.com/rss/articles/CBMijwFBVV95cUxOcnlyaUtXamtSbmN6cmhSUjRaVXVfYjBtLTV1dGFRR1FvNkZUSzBKbGYwZEY5QkItbHFKVVA4WWY2bTZxeGhieV9HdEh2emRpVEV2b014X3ZyS2JKZzNIcjlha0loaThVN1ZyOGdPQTN0WFAxVXhHMjRPNE1NUFZzMEw0Ul8xV1hvOERaZW1NZw?oc=5,Industry publication,NTPC Green Energy Arm Wins 500 MW SECI Peak Power Tender - Equitypandit,Press report - verify,D,Fresh,,2026-09-12,,,,T-f316671be8c1,T-f316671be8c1-01
Waaree,Awarded,NTPC,,"Waaree, NTPC REL, ACME Win SECI’s 6,000 MWh Assured Peak Power Supply Auction - Energetica India Magazine",Unclassified,,,,0.0,,,,,2026-08-24,,,,2028-08-24,Unknown,Derived: 24 months from award (default),Derived from award date,,NTPC,,Waaree; SECI,,2,Pre-COD,Tender · news-derived record,FY26+,Award date,https://news.google.com/rss/articles/CBMirwFBVV95cUxNRms5U0xUXzJhMVZWZmt3SG5VVFNPM1ZvbkFTUmFNYW5mY0NPb2Qyakhvbi1GdTkyMkV2bzBXN2g2RVNIOFJuanlfMFBBMWVwMWM1Tm1hZ3YzS0RyZDN2TXVQVnd2NVR0d2cxOG4yWTJITnBGbGdNRnVTQ0ZWQ2FiQXFpbTZ4dDBHNW80RlRZbHZVQXBnZ1V6TU5jbG5tZDRIZU9YdTI3Y2NnUDE1aGhF?oc=5,https://news.google.com/rss/articles/CBMirwFBVV95cUxNRms5U0xUXzJhMVZWZmt3SG5VVFNPM1ZvbkFTUmFNYW5mY0NPb2Qyakhvbi1GdTkyMkV2bzBXN2g2RVNIOFJuanlfMFBBMWVwMWM1Tm1hZ3YzS0RyZDN2TXVQVnd2NVR0d2cxOG4yWTJITnBGbGdNRnVTQ0ZWQ2FiQXFpbTZ4dDBHNW80RlRZbHZVQXBnZ1V6TU5jbG5tZDRIZU9YdTI3Y2NnUDE1aGhF?oc=5,Industry publication,"Waaree, NTPC REL, ACME Win SECI’s 6,000 MWh Assured Peak Power Supply Auction - Energetica India Magazine",Press report - verify,E,Fresh,2026-09-11,2026-09-12,,,,T-a866fd0c04cd,T-a866fd0c04cd-01
SECI,Awarded,NTPC,,"Waaree, NTPC REL, ACME Win SECI’s 6,000 MWh Assured Peak Power Supply Auction - Energetica India Magazine",Unclassified,,,,0.0,,,,,2026-08-24,,,,2028-08-24,Unknown,Derived: 24 months from award (default),Derived from award date,,NTPC,,Waaree; SECI,,2,Pre-COD,Tender · news-derived record,FY26+,Award date,https://news.google.com/rss/articles/CBMirwFBVV95cUxNRms5U0xUXzJhMVZWZmt3SG5VVFNPM1ZvbkFTUmFNYW5mY0NPb2Qyakhvbi1GdTkyMkV2bzBXN2g2RVNIOFJuanlfMFBBMWVwMWM1Tm1hZ3YzS0RyZDN2TXVQVnd2NVR0d2cxOG4yWTJITnBGbGdNRnVTQ0ZWQ2FiQXFpbTZ4dDBHNW80RlRZbHZVQXBnZ1V6TU5jbG5tZDRIZU9YdTI3Y2NnUDE1aGhF?oc=5,https://news.google.com/rss/articles/CBMirwFBVV95cUxNRms5U0xUXzJhMVZWZmt3SG5VVFNPM1ZvbkFTUmFNYW5mY0NPb2Qyakhvbi1GdTkyMkV2bzBXN2g2RVNIOFJuanlfMFBBMWVwMWM1Tm1hZ3YzS0RyZDN2TXVQVnd2NVR0d2cxOG4yWTJITnBGbGdNRnVTQ0ZWQ2FiQXFpbTZ4dDBHNW80RlRZbHZVQXBnZ1V6TU5jbG5tZDRIZU9YdTI3Y2NnUDE1aGhF?oc=5,Industry publication,"Waaree, NTPC REL, ACME Win SECI’s 6,000 MWh Assured Peak Power Supply Auction - Energetica India Magazine",Press report - verify,E,Fresh,2026-09-11,2026-09-12,,,,T-a866fd0c04cd,T-a866fd0c04cd-02
NTPC Renewable,Awarded,SECI,,NTPC Renewable Energy Wins 500 MW in SECI Peak Power Auction at ₹6/kWh - Microgrid Media,Unclassified,500.0,500.0,,,,,,,2026-08-23,,,,2028-08-23,Unknown,Derived: 24 months from award (default),Derived from award date,,SECI,,,,1,Pre-COD,Tender · news-derived record,FY26+,Award date,https://news.google.com/rss/articles/CBMic0FVX3lxTE5ENU1jazA5OGdWbzhnVm5QNG5VS1RqeVgwRVItNkZMQXR1ZGVOcTZ1SUh0X3FaNDg0SGVOc2gxbjlGZ1ltdWFSWnBpRVpXVm9LLW1yRGNVYVhjVVJONVhSZldxOUNIZnRJeF9ob0pndXdjcTQ?oc=5,https://news.google.com/rss/articles/CBMic0FVX3lxTE5ENU1jazA5OGdWbzhnVm5QNG5VS1RqeVgwRVItNkZMQXR1ZGVOcTZ1SUh0X3FaNDg0SGVOc2gxbjlGZ1ltdWFSWnBpRVpXVm9LLW1yRGNVYVhjVVJONVhSZldxOUNIZnRJeF9ob0pndXdjcTQ?oc=5,Industry publication,NTPC Renewable Energy Wins 500 MW in SECI Peak Power Auction at ₹6/kWh - Microgrid Media,Press report - verify,D,Fresh,,2026-09-12,,,,T-f69d26bb566a,T-f69d26bb566a-01
