Authority,Project Name,Technology,Capacity MW,State,Status,Tender Ref No,Tender Type,Tender Publication Date,Pre Bid Meeting Date,Bid Submission End Date (Online),Bid Submission End Date (Offline),Bid Open Date,Winner Announcement Date,Winner,Tariff,Award URL,Source URL,Bids Received,Award Status,Award Source,Award Headline,Is Renewable,Capacity Raw,Quality Grade,Freshness,First Seen,Last Checked,Last Verified,Details Fetched,AI Checked,TenderKey,Notes
NTPC,"SOLAR THERMAL INTEGRATION , NCPS, DADRI",Solar,,,Closed,40036408,Tender,2015-03-31,,2015-05-05,,2015-05-28,,,,,https://ntpctender.ntpc.co.in/NITDetails/NITs/13831,,Under Evaluation,,,Yes,,,,2026-09-12,2026-09-12,,yes,,T-4bf8059edc23,
NTPC,"DEVELOPMENT OF 450 KW ROOFTOP SOLAR PV PROJECT ON THE PLANT BUILDINGS OF VINDHYACHAL SUPER THERMAL POWER PROJECT, STAGE-V",Rooftop Solar,0.45,,Closed,40037788,Tender,2015-04-24,,2015-05-29,,2015-07-09,,,,,https://ntpctender.ntpc.co.in/NITDetails/NITs/13954,,Under Evaluation,,,Yes,450 KW,,,2026-09-12,2026-09-12,,yes,,T-6a261a371003,
NTPC,DEVELOPMENT OF 250 MW (5 BLOCKS OF 50MW EACH) SOLAR PV POWER PROJECT IN MADHYA PRADESH,Solar,250.0,Madhya Pradesh,Closed,40039276,Tender,2015-05-24,,2015-06-01,,2015-06-30,,,,,https://ntpctender.ntpc.co.in/NITDetails/NITs/14141,,Under Evaluation,,,Yes,250 MW,,,2026-09-12,2026-09-12,,yes,,T-14b219a5ac11,
NTPC,DEVELOPMENT OF 260 MW ( 4 BLOCKS OF 65 MW EACH) SOLAR PV POWER PROJECT IN RAJASTHAN,Solar,260.0,Rajasthan,Closed,40039295,Tender,2015-05-24,,2015-06-30,,2015-08-06,,,,,https://ntpctender.ntpc.co.in/NITDetails/NITs/14142,,Under Evaluation,,,Yes,260 MW,,,2026-09-12,2026-09-12,,yes,,T-7c9a4ab50607,
NTPC,"Selection of Solar Power Developers for Setting up Solar PV Power Projects at Gani-Sakunala Solar Park in Kurnool District of Andhra Pradesh under National Solar Mission (NSM) Phase-II, Batch-II, Tranche-I",Solar,,Andhra Pradesh,Closed,NTPC/2015-16/NSM/TI/AP/02,Tender,2015-05-21,,2015-07-10,,2015-08-12,,,,,https://ntpctender.ntpc.co.in/NITDetails/NITs/14114,,Under Evaluation,,,Yes,,,,2026-09-12,2026-09-12,,yes,,T-48923bc95e19,
NTPC,Selection of Solar Power Developers for setting up Solar PV Power Projects at Ghani Solar Park in Andhra Pradesh under National Solar Mission (NSM),Solar,,Andhra Pradesh,Closed,NTPC/2015-16/NSM/TI/AP/01,Tender,2015-04-29,,2015-07-10,,2015-07-31,,,,,https://ntpctender.ntpc.co.in/NITDetails/NITs/13984,,Under Evaluation,,,Yes,,,,2026-09-12,2026-09-12,,yes,,T-4228e6f7f92b,
NTPC,"Selection of Solar Power Developers for Setting up Solar PV Power Projects at Bhadla Phase II Solar Park in Jodhpur District of Rajasthan under National Solar Mission (NSM) Phase-II, Batch-II, Tranche-I",Solar,,Rajasthan,Closed,NTPC/2015-16/NSM/TI/RAJ/03,Tender,2015-05-21,,2015-07-17,,2015-08-20,,,,,https://ntpctender.ntpc.co.in/NITDetails/NITs/14115,,Under Evaluation,,,Yes,,,,2026-09-12,2026-09-12,,yes,,T-9f38e8aace6d,
NTPC,Selection of Solar Power Developers in the State of Rajasthan for total capacity of 130 MW (10MW x 13 Projects) under Open Category vide RfS No. NTPC/2015-16/NSM/TI/NSP-RAJ/05,Solar,130.0,Rajasthan,Closed,NTPC/2015-16/NSM/TI/NSP-RAJ/05,RfS,2015-07-03,,2015-08-05,,2015-09-09,,,,,https://ntpctender.ntpc.co.in/NITDetails/NITs/15357,,Under Evaluation,,,Yes,130 MW,,,2026-09-12,2026-09-12,,yes,,T-d8fe1d193335,
NTPC,Selection of Solar Power Developers in the State of Rajasthan for total capacity of 100 MW (10MW x 10 Projects) under DCR Category vide RfS No. NTPC/2015-16/NSM/TI/NSP-RAJ/04,Solar,100.0,Rajasthan,Closed,NTPC/2015-16/NSM/TI/NSP-RAJ/04,RfS,2015-07-03,,2015-08-05,,2015-09-07,,,,,https://ntpctender.ntpc.co.in/NITDetails/NITs/14364,,Under Evaluation,,,Yes,100 MW,,,2026-09-12,2026-09-12,,yes,,T-8572ea4e6c43,
NTPC,EXPRESSION OF INTEREST FOR PREPARATION OF DPR FOR DEVELOPMENT OF WIND POWER PROJECTS AT NTPC STATIONS IN INDIA,Wind,,,Closed,RE-CS-0000-003-9,EOI,2015-07-07,,2015-08-07,,,,,,,https://ntpctender.ntpc.co.in/NITDetails/NITs/14386,,Under Evaluation,,,Yes,,,,2026-09-12,2026-09-12,,yes,,T-78309f3b63b6,
NTPC,H T CABLES PACKAGE FOR SOLAR PV POWER PROJECT PHASE-I (250MW) IN ANANTAPUR,Solar,250.0,,Closed,40042422,Tender,2015-07-18,,2015-08-17,,2015-08-27,,,,,https://ntpctender.ntpc.co.in/NITDetails/NITs/14456,,Under Evaluation,,,Yes,250 MW,,,2026-09-12,2026-09-12,,yes,,T-b94f3b4c0308,
NTPC,"Selection of Solar Power Developers for Setting up Solar PV Power Projects (10MW x 10 Projects) in Uttar Pradesh under National Solar Mission (NSM) Phase-II, Batch-II, Tranche-I",Solar,10.0,Uttar Pradesh,Closed,NTPC/2015-16/NSM/TI/NSP-UP/06,Tender,2015-08-12,,2015-09-17,,2015-10-14,,,,,https://ntpctender.ntpc.co.in/NITDetails/NITs/14616,,Under Evaluation,,,Yes,10 MW,,,2026-09-12,2026-09-12,,yes,,T-04e665a127c0,
NTPC,DEVELOPMENT OF 750 MW( 6x125 MW EACH ) Solar PHOTOVOLTAIC POWER PROJECT (PHASE-II) AT ANANTPUR IN ANDHRA PRADESH INDIA,Solar,750.0,Andhra Pradesh,Closed,RE-CS-5712-004-9(R),Tender,2015-08-21,,2015-09-28,,2015-10-29,,,,,https://ntpctender.ntpc.co.in/NITDetails/NITs/14630,,Under Evaluation,,,Yes,750 MW,,,2026-09-12,2026-09-12,,yes,,T-51bcbee78be9,
NTPC,Selection of Solar Power Developers for setting up Solar PV Projects in the State of Telangana for total capacity of 350MW (10MW x 35 Projects) under OPEN Category Non solar park vide RfS No. NTPC/2015-16/NSM/TI/TEL/11,Solar,350.0,Telangana,Closed,NTPC/2015-16/NSM/TI/TEL/11,RfS,2015-10-09,,2016-01-15,,2016-02-02,,,,,https://ntpctender.ntpc.co.in/NITDetails/NITs/15355,,Under Evaluation,,,Yes,350 MW,,,2026-09-12,2026-09-12,,yes,,T-62813dc9a0ca,
NTPC,Selection of Solar Power Developers for setting up Solar PV Projects in the State of Telangana for total capacity of 50MW (10MW x 5 Projects) under DCR Category Non solar park vide RfS No. NTPC/2015-16/NSM/TI/TEL/10,Solar,50.0,Telangana,Closed,NTPC/2015-16/NSM/TI/TEL/10,RfS,2015-10-09,,2016-01-15,,2016-02-01,,,,,https://ntpctender.ntpc.co.in/NITDetails/NITs/14901,,Under Evaluation,,,Yes,50 MW,,,2026-09-12,2026-09-12,,yes,,T-c1c9a767d938,
NTPC,DEVELOPMENT OF 250 MW SOLAR PV PROJECT(S) AT PAVAGADA SOLAR PARK IN KARNATAKA,Solar,250.0,Karnataka,Closed,40051096,Tender,2016-01-25,,2016-03-03,,2016-04-01,,,,,https://ntpctender.ntpc.co.in/NITDetails/NITs/15514,,Under Evaluation,,,Yes,250 MW,,,2026-09-12,2026-09-12,,yes,,T-11b4e8d84ec1,
NTPC,DEVELOPMENT OF 750 MW (6X125 MW EACH) SOLAR PHOTOVOLTAIC POWER PROJECT AT PAVAGADA SOLAR PARK IN KARNATAKA,Solar,750.0,Karnataka,Closed,NTPC-2016-TN000001,Tender,2016-01-25,,2016-03-04,,2016-04-06,,,,,https://ntpctender.ntpc.co.in/NITDetails/NITs/15494,,Under Evaluation,,,Yes,750 MW,,,2026-09-12,2026-09-12,,yes,,T-5253bb106eb9,
NTPC,"Selection of Solar Power Developers for Setting up one Solar PV Power Project of 250MW capacity under OPEN category in Kadapa Ultra Mega Solar Park in Kadapa District of Andhra Pradesh under National Solar Mission (NSM) Phase-II, Batch-II, Tranche-I",Solar,250.0,Andhra Pradesh,Closed,NTPC/2015-16/NSM/TI/AP/12,Tender,2016-03-22,,2016-04-29,,2016-05-30,,,,,https://ntpctender.ntpc.co.in/NITDetails/NITs/15815,,Under Evaluation,,,Yes,250 MW,,,2026-09-12,2026-09-12,,yes,,T-cf8e9e17fdc8,
NTPC,Development of 50MW Solar PV Power Project at Salem in Tamil Nadu,Solar,50.0,Tamil Nadu,Closed,40054805,Tender,2016-04-01,,2016-05-06,,2016-06-03,,,,,https://ntpctender.ntpc.co.in/NITDetails/NITs/15866,,Under Evaluation,,,Yes,50 MW,,,2026-09-12,2026-09-12,,yes,,T-15daded0fe3c,
NTPC,Development of 625 MW (5 Blocks of 125 MW each) Ananthapuramu Solar PV Project(s) At Ananthapuramu Ultra Mega Solar Park in Andhra-Pradesh India,Solar,625.0,,Closed,40056786,Tender,2016-05-19,,2016-06-17,,2016-07-07,,,,,https://ntpctender.ntpc.co.in/NITDetails/NITs/16157,,Under Evaluation,,,Yes,625 MW,,,2026-09-12,2026-09-12,,yes,,T-b303d7a1b2a2,
NTPC,Selection of Solar Power Developers for setting up Grid-Connected Solar PV Power Projects of 100 MW (50 MW x 02 Projects) capacityin Pavagada Solar Park in Tumkur District of Karnataka under DCR Category,Solar,100.0,Karnataka,Closed,NTPC/2015-16/NSM/TI/KAR/08(R),Tender,2016-06-16,,2016-07-07,,2016-07-29,,,,,https://ntpctender.ntpc.co.in/NITDetails/NITs/16253,,Under Evaluation,,,Yes,100 MW,,,2026-09-12,2026-09-12,,yes,,T-0029e937e68a,
NTPC,"DETAILED INVITATION FOR BIDS (IFB) FOR 18 MW SOLAR PHOTO VOLTAIC PROJECT AT CHIDIYATAPU, A&N ISLANDS",Solar,18.0,Andaman and Nicobar,Closed,40058676,Tender,2016-06-29,,2016-07-27,,2016-08-24,,,,,https://ntpctender.ntpc.co.in/NITDetails/NITs/16294,,Under Evaluation,,,Yes,18 MW,,,2026-09-12,2026-09-12,,yes,,T-83c891841a55,
NTPC,100MW (2X50MW) WIND ENERGY PROJECT(S) IN GUJARAT,Wind,100.0,Gujarat,Closed,40063151,Tender,2016-09-24,,2016-10-08,,2016-10-25,,,,,https://ntpctender.ntpc.co.in/NITDetails/NITs/16745,,Under Evaluation,,,Yes,100 MW,,,2026-09-12,2026-09-12,,yes,,T-1f1d044d99d5,
NTPC,"8 MW SOLAR PV PROJECT AT CHIDIYATAPU, A&N ISLANDS",Solar,8.0,Andaman and Nicobar,Closed,40063930,Tender,2016-10-08,,2016-11-04,,2016-12-09,,,,,https://ntpctender.ntpc.co.in/NITDetails/NITs/16828,,Under Evaluation,,,Yes,8 MW,,,2026-09-12,2026-09-12,,yes,,T-849810880e37,
NTPC,"Selection of Solar Power Developers for Setting up one Solar PV Power Project of 250 MW capacity under OPEN category in Kadapa Ultra Mega Solar Park in Kadapa District of Andhra Pradesh under National Solar Mission (NSM) Phase-II, Batch-II, Tranche-I",Solar,250.0,Andhra Pradesh,Closed,NTPC/2015-16/NSM/TI/AP/12(R),Tender,2016-10-27,,2016-11-17,,2016-12-09,,,,,https://ntpctender.ntpc.co.in/NITDetails/NITs/16930,,Under Evaluation,,,Yes,250 MW,,,2026-09-12,2026-09-12,,yes,,T-028c77ab317f,
NTPC,"17 MW SOLAR PV PROJECT AT MANGLUTAN IN SOUTH ANDAMAN, A&N ISLANDS",Solar,17.0,Andaman and Nicobar,Closed,40063952,Tender,2016-10-20,,2016-11-17,,2016-12-22,,,,,https://ntpctender.ntpc.co.in/NITDetails/NITs/16850,,Under Evaluation,,,Yes,17 MW,,,2026-09-12,2026-09-12,,yes,,T-b62e3230a51a,
NTPC,DEVELOPMENT OF 250 MW (5 BLOCKS OF 50 MW EACH) SOLAR PHOTO VOLTAIC POWER PROJECT(S) AT PAVAGADA SOLAR PARK IN KARNATAKA,Solar,250.0,Karnataka,Closed,40062422,Tender,2016-09-29,,2017-04-10,,2017-04-25,,,,,https://ntpctender.ntpc.co.in/NITDetails/NITs/16768,,Under Evaluation,,,Yes,250 MW,,,2026-09-12,2026-09-12,,yes,,T-3347736b306a,
NTPC,Development of 750 MW (6X125 MW each) Solar PV Project at PAVAGADA in Karnataka,Solar,750.0,Karnataka,Closed,RE-CS-5725-004-2(R),Tender,2017-03-16,,2017-04-20,,2017-05-19,,,,,https://ntpctender.ntpc.co.in/NITDetails/NITs/17461,,Under Evaluation,,,Yes,750 MW,,,2026-09-12,2026-09-12,,yes,,T-3c8d2f1c74de,
NTPC,DEVELOPMENT OF 1500 KW ROOFTOP SOLAR PV PROJECT FOR KUDGI STPP-I (3 X 800 MW),Rooftop Solar,800.0,,Closed,40071746,Tender,2017-03-20,,2017-04-21,,2017-05-25,,,,,https://ntpctender.ntpc.co.in/NITDetails/NITs/17487,,Under Evaluation,,,Yes,800 MW,,,2026-09-12,2026-09-12,,yes,,T-87dbce87bc84,
